,Brand,Model,Category,Price,Country,Link
0,Noname,20000mAh ,Внешний аккумулятор ,2290,,https://hatewait.ru/product/vneshnij_akkumulyator_20000_mah.aspx
1,Apple,iPhone Xr 128GB Blue ,смартфон,53300,USA,https://hatewait.ru/product/apple_iphone_xr_128gb_blue.aspx
2,Huawei,Honor FlyPods Blue ,Bluetooth-наушники с микрофоном,7990,China,https://hatewait.ru/product/besprovodnye_naushniki_huawei_honor_flypods_pro_blue.aspx
3,OnePlus,6 8/128GB Red (красный) ,смартфон,27200,China,https://hatewait.ru/product/oneplus_6_8_128gb_red_krasnyj.aspx
4,Samsung,Galaxy S10+ 8/128Gb Оникс ,смартфон,55320,South Korea,https://hatewait.ru/product/samsung_galaxy_s10-_8_128gb_oniks.aspx
5,Samsung,Galaxy Note 9 128GB Black (Черный) ,смартфон,41940,South Korea,https://hatewait.ru/product/samsung_galaxy_note_9_128gb_black.aspx
6,Noname,20000mAh с поддержкой быстрой зарядки ,Внешний аккумулятор ,2690,,https://hatewait.ru/product/vneshnij_akkumulyator_20000_mah_dlya_noutbukov_s_podderzhkoj_bystroj_zaryadki_.aspx
7,Sony,Xperia XZ2 Silver ,смартфон,35980,Japan,https://hatewait.ru/product/sony_xperia_xz2_silver.aspx
8,Google,Pixel XL 128Gb Very Silver ,cмартфон,32980,USA,https://hatewait.ru/product/smartfon_google_pixel_xl_128gb_very_silver.aspx
9,Xiaomi,Mi8 6/128GB Black Global ,смартфон,27490,China,https://hatewait.ru/product/xiaomi_mi8_6_128gb_black_global.aspx
10,Huawei,P20 Pro 128Gb Black ,смартфон,48340,China,https://hatewait.ru/product/huawei_p20_pro_128gb_black.aspx
11,Xiaomi,"Mi Notebook Pro 15.6 GTX (Intel Core i5 8250U 1600 MHz/15.6""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce GTX 1050/Wi-Fi/Bluetooth/Windows 10 Home) ",ноутбук,63970,China,https://hatewait.ru/product/noutbuk_xiaomi_mi_notebook_pro_156_gtx_intel_core_i5_8250u_1600_mhz_156_1920x1080_8gb_256gb_ssd_dvd_net_nvidia_geforce_gtx_1050_wi-fi_bluetooth_windows_10_home.aspx
12,OnePlus,6 8/128GB Mirror Black (черный глянцевый) ,смартфон,27190,China,https://hatewait.ru/product/oneplus_6_8_128gb_mirror_black_chernyj_glyancevyj.aspx
13,Samsung,Galaxy Buds Черные ,Bluetooth-наушники с микрофоном,8550,South Korea,https://hatewait.ru/product/samsung_galaxy_buds_chernye.aspx
14,Sony,Xperia XZ3 6/64Gb Black ,смартфон,37590,Japan,https://hatewait.ru/product/sony_xperia_xz3_dual_black.aspx
15,Xiaomi,Redmi Note 7 4/128Gb Black Global ,смартфон,15580,China,https://hatewait.ru/product/xiaomi_redmi_note_7_4_128gb_black_global.aspx
16,Apple,iPhone Xr 64GB Black ,смартфон,49880,USA,https://hatewait.ru/product/apple_iphone_xr_64gb_black.aspx
